,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By
2299,2299,Rajagopalan Vasudevan,"Tamil Nadu, India",Science and Engineering,Ram Nath Kovind,,,,,,
2300,2300,Rajammal P. Devadas,"Tamil Nadu, India",Literature and Education,R. Venkataraman,,,,,,
2301,2301,Rajan Devadas,Bahrain,Arts,K. R. Narayanan,,,,,,
2302,2302,Rajan Saxena,"Uttar Pradesh, India",Medicine,A. P. J. Abdul Kalam,,,,,,
2303,2303,Rajan and Sajan Mishra,,,,Delhi/India,Arts,A. P. J. Abdul Kalam,,,
2304,2304,Rajanikant Arole,,,,"Maharashtra, India",Social Work,R. Venkataraman,,,
2305,2305,Rajaram Shastri,,,,,,,"Uttar Pradesh, India",Literature and Education,R. Venkataraman
2306,2306,Rajashree Birla,,,,"Maharashtra, India",Social Work,Pratibha Patil,,,
2307,2307,Rajat Sharma,,,,Delhi/India,Literature and Education,Pranab Mukherjee,,,
2308,2308,Rajdeep Sardesai,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
2309,2309,Rajeev Sethi,,,,Delhi/India,Civil Service,Zail Singh,,,
2310,2310,Rajeev Taranath,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,
2311,2311,Rajendra Achyut Badwe,"Maharashtra, India",Medicine,Pranab Mukherjee,,,,,,
2312,2312,Rajendra K. Pachauri,,,,Delhi,Others,K. R. Narayanan,Delhi,Science and Engineering,Pratibha Patil
2313,2313,Rajendra Kumar,Maharashtra,Arts,V. V. Giri,,,,,,
2314,2314,Rajendra Singh Paroda,,,,Delhi/India,Science and Engineering,K. R. Narayanan,,,
2315,2315,Rajendra Singh Pawar,,,,"Haryana, India",Trade and Industry,Pratibha Patil,,,
2316,2316,Rajesh Khanna,,,,"Maharashtra, India",Arts,Pranab Mukherjee,,,
2317,2317,Rajesh Kotecha,"Rajasthan, India",Medicine,Pranab Mukherjee,,,,,,
2318,2318,Rajesh Kumar Grover,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
2319,2319,Rajesh Saraiya,"Maharashtra, India",Trade and Industry,Pranab Mukherjee,,,,,,
2320,2320,Rajeshwar Acharya,"Uttar Pradesh, India",Arts,Ram Nath Kovind,,,,,,
2321,2321,Rajeshwar Dayal,,,,,,,Delhi/India,Civil Service,Zakir Husain (politician)
2322,2322,Rajeshwar Shastri Dravid,,,,"Uttar Pradesh, India",Literature and Education,Rajendra Prasad,,,
2323,2323,Rajinder Gupta,"Punjab, India",Trade and Industry,A. P. J. Abdul Kalam,,,,,,
2324,2324,Rajinder Kumar,,,,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,
2325,2325,Rajinder Singh Bedi,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,
2326,2326,Rajinikanth,,,,Tamil Nadu,Arts,K. R. Narayanan,Tamil Nadu,Arts,Pranab Mukherjee
2327,2327,Rajkavi Inderjeet Singh Tulsi,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,,,,
2328,2328,Rajkumar Achouba Singh,"Manipur, India",Arts,Pratibha Patil,,,,,,
2329,2329,Rajkumar Jhalajit Singh,"Manipur, India",Literature and Education,K. R. Narayanan,,,,,,
2330,2330,Rajkumar Singhajit Singh,Delhi/India,Arts,Zail Singh,,,,,,
2331,2331,Rajkumari Devi,"Bihar, India",Others,Ram Nath Kovind,,,,,,
2332,2332,Rajmohini Devi,"Madhya Pradesh, India",Social Work,R. Venkataraman,,,,,,
2333,2333,Rajni Bector,"Punjab, India",Trade and Industry,Ram Nath Kovind,,,,,,
2334,2334,Rajni Kumar,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
2335,2335,Rajnikant Shroff,,,,"Maharashtra, India",Trade and Industry,Ram Nath Kovind,,,
2336,2336,Rajpal Singh Sirohi,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,,,,
2337,2337,Rajshekhar Basu,,,,"West Bengal, India",Literature and Education,Rajendra Prasad,,,
2338,2338,Rajshree Pathy,"Tamil Nadu, India",Trade and Industry,Pranab Mukherjee,,,,,,
2339,2339,Rajyavardhan Singh Rathore,"Rajasthan, India",Sports,A. P. J. Abdul Kalam,,,,,,
2340,2340,Rakesh Bakshi,Delhi/India,Science and Engineering,R. Venkataraman,,,,,,
2341,2341,Rakesh Kumar Jain,"Uttarakhand, India",Medicine,Pratibha Patil,,,,,,
2342,2342,Rakhee Gulzar,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,
2343,2343,Ralengnao Khathing,"Manipur, India",Public Affairs,Rajendra Prasad,,,,,,
2344,2344,Ralte L. Thanmawia,"Mizoram, India",Literature and Education,Pratibha Patil,,,,,,
2345,2345,Ram Badan Singh,,,,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,
2346,2346,Ram Bahadur Rai,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
2347,2347,Ram Chatur Mallick,"Bihar, India",Arts,V. V. Giri,,,,,,
2348,2348,Ram Dayal Munda,"Jharkhand, India",Arts,Pratibha Patil,,,,,,
2349,2349,Ram Gopal Bajaj,"Andhra Pradesh, India",Arts,A. P. J. Abdul Kalam,,,,,,
2350,2350,Ram Gopal Vijayvargiya,"Rajasthan, India",Arts,Zail Singh,,,,,,
2351,2351,Ram Harsh Singh,"Uttar Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
2352,2352,Ram Kinkar Upadhyay,,,,"Uttar Pradesh, India",Others,K. R. Narayanan,,,
2353,2353,Ram Krishna Trivedi,,,,"Uttar Pradesh, India",Public Affairs,Zail Singh,,,
2354,2354,Ram Kumar (artist),Delhi,Arts,V. V. Giri,Delhi,Arts,Pratibha Patil,,,
2355,2355,Ram Kumar Caroli,Uttar Pradesh,Medicine,Zakir Husain (politician),Uttar Pradesh,Medicine,V. V. Giri,,,
2356,2356,Ram Mohan,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
2357,2357,Ram Narain Agarwal,Andhra Pradesh,Science and Engineering,R. Venkataraman,Andhra Pradesh,Science and Engineering,K. R. Narayanan,,,
2358,2358,Ram Narayan,Maharashtra,Arts,Fakhruddin Ali Ahmed,Maharashtra,Arts,R. Venkataraman,Maharashtra,Arts,A. P. J. Abdul Kalam
2359,2359,Ram Narayan Chakravarti,,,,"West Bengal, India",Science and Engineering,V. V. Giri,,,
2360,2360,Ram Nath Shastri,Jammu & Kashmir/India,Literature and Education,R. Venkataraman,,,,,,
2361,2361,Ram Prakash Bambah,,,,Chandigarh/India,Science and Engineering,R. Venkataraman,,,
2362,2362,Ram Prakash Gehlote,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,
2363,2363,Ram Saran Verma,"Uttar Pradesh, India",Others,Ram Nath Kovind,,,,,,
2364,2364,Ram Shankar Tripathi,"Uttar Pradesh, India",Literature and Education,Pratibha Patil,,,,,,
2365,2365,Ram V. Sutar,Uttar Pradesh,Arts,K. R. Narayanan,Uttar Pradesh,Arts,Pranab Mukherjee,,,
2366,2366,Ram Vilas Paswan,,,,"Bihar, India",Public Affairs,Ram Nath Kovind,,,
2367,2367,Rama Kant Shukla,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
2368,2368,Ramachandra Datatraya Lele,,,,"Maharashtra, India",Medicine,R. Venkataraman,,,
2369,2369,Ramachandra Guha,,,,"Karnataka, India",Literature and Education,Pratibha Patil,,,
2370,2370,Ramachandran Balasubramanian,"Tamil Nadu, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
2371,2371,Ramachandran Nagaswamy,,,,"Tamil Nadu, India",Others,Ram Nath Kovind,,,
2372,2372,Ramadas P. Shenoy,"Karnataka, India",Science and Engineering,Zail Singh,,,,,,
2373,2373,Ramakant Achrekar,"Maharashtra, India",Sports,Pratibha Patil,,,,,,
2374,2374,Ramakant Krishnaji Deshpande,"Maharashtra, India",Medicine,Pranab Mukherjee,,,,,,
2375,2375,Ramakanta Panda,,,,"Maharashtra, India",Medicine,Pratibha Patil,,,
2376,2376,Ramakanta Rath,,,,"Odisha, India",Literature and Education,A. P. J. Abdul Kalam,,,
2377,2377,Ramakrishna V. Hosur,"Maharashtra, India",Science and Engineering,Pranab Mukherjee,,,,,,
2378,2378,Ramamurthy Thyagarajan,,,,"Tamil Nadu, India",Trade and Industry,Pranab Mukherjee,,,
2379,2379,Raman Gangakhedkar,"Maharashtra, India",Science and Engineering,Ram Nath Kovind,,,,,,
2380,2380,Raman Kapur,Delhi/India,Medicine,Pratibha Patil,,,,,,
2381,2381,Raman Viswanathan,,,,"Tamil Nadu, India",Medicine,V. V. Giri,,,
2382,2382,Ramanand Sagar,"Maharashtra, India",Arts,K. R. Narayanan,,,,,,
2383,2383,Ramanath Cowsik,"Karnataka, India",Science and Engineering,K. R. Narayanan,,,,,,
2384,2384,Ramanathan Krishnan,Tamil Nadu,Sports,Rajendra Prasad,Tamil Nadu,Sports,Sarvepalli Radhakrishnan,,,
2385,2385,Ramanathapuram C. S. Murugabhoopathy,"Tamil Nadu, India",Arts,V. V. Giri,,,,,,
2386,2386,Ramankutty Nair,,,,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,
2387,2387,Ramanlal Gokaldas Saraiya,,,,"Maharashtra, India",Public Affairs,Sarvepalli Radhakrishnan,,,
2388,2388,Ramanujam Varatharaja Perumal,,,,"Kerala, India",Science and Engineering,K. R. Narayanan,,,
2389,2389,Ramaranjan Mukherji,"West Bengal, India",Literature and Education,Pratibha Patil,,,,,,
2390,2390,Ramaswami Venkataswami,"Tamil Nadu, India",Medicine,Ram Nath Kovind,,,,,,
2391,2391,Ramaswamy Rajaram,,,,"Tamil Nadu, India",Civil Service,Sarvepalli Radhakrishnan,,,
2392,2392,Rambhadracharya,,,,,,,"Uttar Pradesh, India",Literature and Education,Pranab Mukherjee
2393,2393,Ramchandra Manjhi,"Bihar, India",Arts,Ram Nath Kovind,,,,,,
2394,2394,Ramchandra Narayan Dandekar,,,,"Maharashtra, India",Literature and Education,Rajendra Prasad,,,
2395,2395,Ramdas Pai,,,,"Karnataka, India",Literature and Education,Pratibha Patil,,,
2396,2396,Ramdhari Singh Dinkar,,,,"Bihar, India",Literature and Education,Rajendra Prasad,,,
2397,2397,Ramesh Chandra Shah,"Madhya Pradesh, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
2398,2398,Ramesh Gelli,"Karnataka, India",Trade and Industry,R. Venkataraman,,,,,,
2399,2399,Ramesh Inder Singh,Delhi/India,Civil Service,Zail Singh,,,,,,
2400,2400,Ramesh Krishnan,"Tamil Nadu, India",Sports,K. R. Narayanan,,,,,,
2401,2401,Ramesh Kumar (nephrologist),Delhi,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam,,,
2402,2402,Ramesh Sippy,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
2403,2403,Rameshwar Nath Koul Bamezai,Jammu & Kashmir/India,Science and Engineering,Pratibha Patil,,,,,,
2404,2404,Rameshwari Nehru,,,,"Uttar Pradesh, India",Social Work,Rajendra Prasad,,,
2405,2405,Rameshwarlal Kabra,"Maharashtra, India",Trade and Industry,Ram Nath Kovind,,,,,,
2406,2406,Ramjee Singh,"Bihar, India",Social Work,Ram Nath Kovind,,,,,,
2407,2407,Ramkinkar Baij,,,,"West Bengal, India",Arts,V. V. Giri,,,
2408,2408,Ramkumar Verma,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,
2409,2409,Ramniklal K. Gandhi,"Maharashtra, India",Medicine,Zail Singh,,,,,,
2410,2410,Ramoji Rao,,,,,,,"Andhra Pradesh, India",Literature and Education,Pranab Mukherjee
2411,2411,Ramrao Deshmukh,,,,"Maharashtra, India",Trade and Industry,V. V. Giri,,,
2412,2412,Ranbir Chander Sobti,Chandigarh/India,Literature and Education,Pratibha Patil,,,,,,
2413,2413,Ranbir Singh Bisht,"Uttar Pradesh, India",Arts,R. Venkataraman,,,,,,
2414,2414,Randeep Guleria,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
2415,2415,Randhir Sud,Delhi/India,Medicine,Pratibha Patil,,,,,,
2416,2416,Rangaswamy Narasimhan,"Maharashtra, India",Civil Service,Fakhruddin Ali Ahmed,,,,,,
2417,2417,Rani Gaidinliu,,,,"Nagaland, India",Social Work,Neelam Sanjiva Reddy,,,
2418,2418,Rani Karnaa,"West Bengal, India",Arts,Pranab Mukherjee,,,,,,
2419,2419,Rani Rampal,"Haryana, India",Sports,Ram Nath Kovind,,,,,,
2420,2420,Ranjan Roy Daniel,,,,"Tamil Nadu, India",Science and Engineering,R. Venkataraman,,,
2421,2421,Ranjana Gauhar,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
2422,2422,Ranjit Bhargava,"Uttarakhand, India",Others,Pratibha Patil,,,,,,
2423,2423,Ranjit Roy Chaudhury,Delhi/India,Medicine,K. R. Narayanan,,,,,,
2424,2424,Ranjit Singh Sarkaria,Punjab,Civil Service,V. V. Giri,,,,,,
2425,2425,Rao Raja Hanut Singh,,,,"Rajasthan, India",Public Affairs,Rajendra Prasad,,,
2426,2426,Rasheed Ahmad Siddiqui,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,,,,
2427,2427,Rashid Khan,"West Bengal, India",Arts,A. P. J. Abdul Kalam,,,,,,
2428,2428,Ratan Lal Joshi,,,,Delhi/India,Literature and Education,V. V. Giri,,,
2429,2429,Ratan Shankar Mishra,"Uttar Pradesh, India",Literature and Education,V. V. Giri,,,,,,
2430,2430,Ratan Shastri,Rajasthan,Literature and Education,Rajendra Prasad,Rajasthan,Social Work,Fakhruddin Ali Ahmed,,,
2431,2431,Ratan Tata,,,,Maharashtra,Trade and Industry,K. R. Narayanan,Maharashtra,Trade and Industry,Pratibha Patil
2432,2432,Ratan Thiyam,"Manipur, India",Arts,R. Venkataraman,,,,,,
2433,2433,Rathin Datta,"Tripura, India",Medicine,R. Venkataraman,,,,,,
2434,2434,Ratna Fabri,"Rajasthan, India",Arts,V. V. Giri,,,,,,
2435,2435,Ratnappa Kumbhar,"Maharashtra, India",Social Work,Zail Singh,,,,,,
2436,2436,Ratnasundarsuri,,,,"Gujarat, India",Others,Pranab Mukherjee,,,
2437,2437,Rattan Lal,,Science and Engineering,Ram Nath Kovind,,,,,,
2438,2438,Ravi Chaturvedi,Delhi/India,Sports,Pratibha Patil,,,,,,
2439,2439,Ravi Grover,"Maharashtra, India",Science and Engineering,Pranab Mukherjee,,,,,,
2440,2440,Ravi Kannan R,"Assam, India",Medicine,Ram Nath Kovind,,,,,,
2441,2441,Ravi Kumar Narra,"Andhra Pradesh, India",Trade and Industry,Pranab Mukherjee,,,,,,
2442,2442,Ravi Narayana Reddy,,,,,,,"Andhra Pradesh, India",Public Affairs,R. Venkataraman
2443,2443,Ravi Shankar,,,,Uttar Pradesh,Arts,Sarvepalli Radhakrishnan,Uttar Pradesh,Arts,Neelam Sanjiva Reddy
2444,2444,Ravindra Jain,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
2445,2445,Ravindra Kelekar,,,,"Goa, India",Literature and Education,Pratibha Patil,,,
2446,2446,Ravindra Kumar,"Uttar Pradesh, India",Literature and Education,K. R. Narayanan,,,,,,
2447,2447,Ravindra Kumar Sinha,"Bihar, India",Others,Pranab Mukherjee,,,,,,
2448,2448,Ravindra Singh Bisht,"Uttar Pradesh, India",Others,Pranab Mukherjee,,,,,,
2449,2449,Ravindra and Smita Kolhe,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,
2450,2450,Ravishankar Raval,"Gujarat, India",Arts,Sarvepalli Radhakrishnan,,,,,,
2451,2451,Reema Nanavati,"Gujarat, India",Social Work,Pranab Mukherjee,,,,,,
2452,2452,Reeta Devi,Delhi/India,Social Work,Pratibha Patil,,,,,,
2453,2453,Rehana Khatoon,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
2454,2454,Rehman Rahi,Jammu & Kashmir/India,Literature and Education,K. R. Narayanan,,,,,,
2455,2455,Rekandar Nageswara Rao,"Andhra Pradesh, India",Arts,Pranab Mukherjee,,,,,,
2456,2456,Rekha,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
2457,2457,Relangi,"Andhra Pradesh, India",Arts,V. V. Giri,,,,,,
2458,2458,Remo Fernandes,"Goa, India",Arts,A. P. J. Abdul Kalam,,,,,,
2459,2459,Renana Jhabvala,"Gujarat, India",Social Work,R. Venkataraman,,,,,,
2460,2460,Renuka Ray,,,,"West Bengal, India",Public Affairs,R. Venkataraman,,,
2461,2461,Resul Pookutty,"Kerala, India",Arts,Pratibha Patil,,,,,,
2462,2462,Reuben David,"Gujarat, India",Medicine,Fakhruddin Ali Ahmed,,,,,,
2463,2463,Rewben Mashangva,"Manipur, India",Arts,Ram Nath Kovind,,,,,,
2464,2464,Richard Attenborough,,,,,Arts,Zail Singh,,,
2465,2465,Rita Ganguly,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
2466,2466,Ritu Kumar,Delhi/India,Others,Pranab Mukherjee,,,,,,
2467,2467,Ritu Menon,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
2468,2468,Ritwik Ghatak,"West Bengal, India",Arts,V. V. Giri,,,,,,
2469,2469,Riyaz Punjabi,Jammu & Kashmir/India,Literature and Education,Pratibha Patil,,,,,,
2470,2470,Robert Blackwill,,,,"Idaho, United states",Public Affairs,Pranab Mukherjee,,,
2471,2471,Robert Thurman,,Literature and Education,Ram Nath Kovind,,,,,,
2472,2472,Robin Banerjee,"Assam, India",Social Work,V. V. Giri,,,,,,
2473,2473,Roddam Narasimha,,,,Karnataka,Science and Engineering,Zail Singh,Karnataka,Science and Engineering,Pranab Mukherjee
2474,2474,Rohini Godbole,"Karnataka, India",Science and Engineering,Ram Nath Kovind,,,,,,
2475,2475,Romesh Wadhwani,Pakistan,Trade and Industry,Ram Nath Kovind,,,,,,
2476,2476,Romuald D'Souza,"Goa, India",Literature and Education,Pratibha Patil,,,,,,
2477,2477,Romulus Whitaker,"Tamil Nadu, India",Others,Ram Nath Kovind,,,,,,
2478,2478,Ronald Carlton Vivian Piadade Noronha,,,,"Madhya Pradesh, India",Civil Service,Fakhruddin Ali Ahmed,,,
2479,2479,Ronen Sen,,,,"West Bengal, India",Civil Service,Pratibha Patil,,,
2480,2480,Rongbong Terang,"Assam, India",Literature and Education,R. Venkataraman,,,,,,
2481,2481,Roshan Kumari,"Maharashtra, India",Arts,Zail Singh,,,,,,
2482,2482,Roshan Lal Anand,"Punjab, India",Sports,Fakhruddin Ali Ahmed,,,,,,
2483,2483,Rostislav Rybakov,Spain,Literature and Education,A. P. J. Abdul Kalam,,,,,,
2484,2484,Rukmini Devi Arundale,,,,"Tamil Nadu, India",Arts,Rajendra Prasad,,,
2485,2485,Runa Banerjee,"Uttar Pradesh, India",Social Work,A. P. J. Abdul Kalam,,,,,,
2486,2486,Ruskin Bond,Uttarakhand,Literature and Education,K. R. Narayanan,Uttarakhand,Literature and Education,Pranab Mukherjee,,,
2487,2487,Russi Mody,,,,"Jharkhand, India",Trade and Industry,R. Venkataraman,,,
2488,2488,Rustom Jal Vakil,,,,"Maharashtra, India",Medicine,Rajendra Prasad,,,
2489,2489,Rustomji Bomanji Billimoria,,,,"Maharashtra, India",Medicine,Rajendra Prasad,,,
2490,2490,S. B. Mujumdar,Maharashtra,Literature and Education,A. P. J. Abdul Kalam,Maharashtra,Literature and Education,Pratibha Patil,,,
2491,2491,S. C. Jamir,,,,"Nagaland, India",Public Affairs,Ram Nath Kovind,,,
2492,2492,S. C. Manchanda,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
2493,2493,S. C. Munshi,"Maharashtra, India",Medicine,R. Venkataraman,,,,,,
2494,2494,S. D. Burman,"West Bengal, India",Arts,Zakir Husain (politician),,,,,,
2495,2495,S. G. Thakur Singh,"Punjab, India",Arts,V. V. Giri,,,,,,
2496,2496,S. I. Padmavati,,,,Delhi,Medicine,Sarvepalli Radhakrishnan,Delhi,Medicine,R. Venkataraman
2497,2497,S. Jaishankar,Delhi/India,Civil Service,Ram Nath Kovind,,,,,,
2498,2498,S. K. M. Maeilanandhan,"Tamil Nadu, India",Social Work,Pranab Mukherjee,,,,,,
2499,2499,S. K. Misra,,,,"Haryana, India",Civil Service,Pratibha Patil,,,
2500,2500,S. K. Sama,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
2501,2501,S. K. Sikka,"Haryana, India",Science and Engineering,K. R. Narayanan,,,,,,
2502,2502,S. Krishnaswamy,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
2503,2503,S. L. Bhyrappa,"Karnataka, India",Literature and Education,Pranab Mukherjee,,,,,,
2504,2504,S. M. Ganapathy,"Andhra Pradesh, India",Arts,R. Venkataraman,,,,,,
2505,2505,S. N. Goenka,,,,"Maharashtra, India",Social Work,Pratibha Patil,,,
2506,2506,S. N. Swamy,"Andhra Pradesh, India",Arts,Zakir Husain (politician),,,,,,
2507,2507,S. P. Balasubrahmanyam,Tamil Nadu,Arts,K. R. Narayanan,Andhra Pradesh,Arts,Pratibha Patil,,,
2508,2508,S. P. Kothari,,Literature and Education,Ram Nath Kovind,,,,,,
2509,2509,S. P. Nimbalkar,"Maharashtra, India",Sports,A. P. J. Abdul Kalam,,,,,,
2510,2510,S. P. Oswal,,,,"Punjab, India",Trade and Industry,Pratibha Patil,,,
2511,2511,S. P. P. Thorat,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,
2512,2512,S. P. Varma,Jammu & Kashmir/India,Social Work,Pratibha Patil,,,,,,
2513,2513,S. R. Janakiraman,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
2514,2514,S. R. Ranganathan,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,
2515,2515,S. R. Srinivasa Varadhan,,,,,Literature and Education,Pratibha Patil,,,
2516,2516,S. Ramachandran,,,,"Tamil Nadu, India",Science and Engineering,Pratibha Patil,,,
2517,2517,S. Ramakrishnan,"Tamil Nadu, India",Social Work,Ram Nath Kovind,,,,,,
2518,2518,S. S. Badrinath,Tamil Nadu,Medicine,Zail Singh,Tamil Nadu,Medicine,K. R. Narayanan,,,
2519,2519,S. S. Rajamouli,"Telangana, India",Arts,Pranab Mukherjee,,,,,,
2520,2520,S. S. Rathore,"Gujarat, India",Civil Service,Ram Nath Kovind,,,,,,
2521,2521,S. S. Vasan,,,,"Tamil Nadu, India",Arts,Zakir Husain (politician),,,
2522,2522,S. Shakir Ali,"Rajasthan, India",Arts,Pranab Mukherjee,,,,,,
2523,2523,S. Somasundaram,"Tamil Nadu, India",Arts,Fakhruddin Ali Ahmed,,,,,,
2524,2524,S. Srinivasan,,,,"Kerala, India",Science and Engineering,K. R. Narayanan,,,
2525,2525,S. V. S. Raghavan,Delhi/India,Civil Service,Zail Singh,,,,,,
2526,2526,Saalumarada Thimmakka,"Karnataka, India",Social Work,Ram Nath Kovind,,,,,,
2527,2527,Saba Anjum Karim,"Chhattisgarh, India",Sports,Pranab Mukherjee,,,,,,
2528,2528,Sabitri Chatterjee,"West Bengal, India",Arts,Pranab Mukherjee,,,,,,
2529,2529,Sabitri Heisnam,"Manipur, India",Arts,Pratibha Patil,,,,,,
2530,2530,Sabri Khan,Delhi,Arts,R. Venkataraman,Delhi,Arts,A. P. J. Abdul Kalam,,,
2531,2531,Sachchidanand Sahai,"Haryana, India",Literature and Education,Pratibha Patil,,,,,,
2532,2532,Sachidananda Routray,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,
2533,2533,Sachin Tendulkar,Maharashtra,Sports,K. R. Narayanan,,,,Maharashtra,Sports,Pratibha Patil
2534,2534,Sadashiv Vasantrao Gorakshkar,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,
2535,2535,Sadat Abul Masud,,,,"West Bengal, India",Public Affairs,Zail Singh,,,
2536,2536,Sadhu Meher,"Odisha, India",Arts,Pranab Mukherjee,,,,,,
2537,2537,Sadhu Singh Hamdard,"Punjab, India",Literature and Education,Zail Singh,,,,,,
2538,2538,Sadiq-ur-Rahman Kidwai,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
2539,2539,Saeed Jaffrey,United Kingdom,Arts,Pranab Mukherjee,,,,,,
2540,2540,Sagat Singh,,,,"Punjab, India",Civil Service,V. V. Giri,,,
2541,2541,Sahir Ludhianvi,"Punjab, India",Literature and Education,V. V. Giri,,,,,,
2542,2542,Sai Paranjpye,,,,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,
2543,2543,Saibaba Goud,"Andhra Pradesh, India",Medicine,Pratibha Patil,,,,,,
2544,2544,Saichiro Misumi,,,,,Public Affairs,Pranab Mukherjee,,,
2545,2545,Saif Ali Khan,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
2546,2546,Saikhom Mirabai Chanu,"Manipur, India",Sports,Ram Nath Kovind,,,,,,
2547,2547,Sailabala Das,"Odisha, India",Social Work,Rajendra Prasad,,,,,,
2548,2548,Sailen Manna,"West Bengal, India",Sports,V. V. Giri,,,,,,
2549,2549,Sailesh Kumar Bandopadhyay,,,,"Jharkhand, India",Public Affairs,Pratibha Patil,,,
2550,2550,Saina Nehwal,Andhra Pradesh,Sports,Pratibha Patil,Telangana,Sports,Pranab Mukherjee,,,
2551,2551,Sakar Khan Manganiar,"Rajasthan, India",Arts,Pratibha Patil,,,,,,
2552,2552,Sakshi Malik,"Haryana, India",Sports,Pranab Mukherjee,,,,,,
2553,2553,Saliha Abid Hussain,Delhi/India,Literature and Education,Zail Singh,,,,,,
2554,2554,Salik Lucknawi,"West Bengal, India",Literature and Education,Pranab Mukherjee,,,,,,
2555,2555,Salim Ali,,,,Maharashtra,Science and Engineering,Rajendra Prasad,Uttar Pradesh,Science and Engineering,Fakhruddin Ali Ahmed
2556,2556,"Salman Amin ""Sal"" Khan",United States,Literature and Education,Pranab Mukherjee,,,,,,
2557,2557,Sam Manekshaw,,,,Maharashtra,Civil Service,Zakir Husain (politician),Tamil Nadu,Civil Service,V. V. Giri
2558,2558,Sam Pitroda,,,,Delhi/India,Science and Engineering,Pratibha Patil,,,
2559,2559,Samad Yar Khan Saghar Nizami,,,,"Uttar Pradesh, India",Literature and Education,Zakir Husain (politician),,,
2560,2560,Samiran Nundy,Delhi/India,Medicine,Zail Singh,,,,,,
2561,2561,Sampat Ramteke,"Maharashtra, India",Social work,Ram Nath Kovind,,,,,,
2562,2562,Samta Prasad,Uttar Pradesh,Arts,V. V. Giri,Uttar Pradesh,Arts,R. Venkataraman,,,
2563,2563,Samuel Paul,"Karnataka, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
2564,2564,Sandeep Guleria,Delhi/India,Medicine,Ram Nath Kovind,,,,,,
2565,2565,Sandip Kumar Basu,Delhi/India,Science and Engineering,K. R. Narayanan,,,,,,
2566,2566,Sandra Desa Souza,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,
2567,2567,Sanduk Ruit,Nepal,Medicine,Ram Nath Kovind,,,,,,
2568,2568,Sania Mirza,Andhra Pradesh,Sports,A. P. J. Abdul Kalam,Telangana,Sports,Pranab Mukherjee,,,
2569,2569,Sanjay Govind Dhande,"Maharashtra, India",Science and Engineering,Pranab Mukherjee,,,,,,
2570,2570,Sanjay Leela Bhansali,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
2571,2571,Sanjaya Rajaram,United Kingdom,Science and Engineering,K. R. Narayanan,,,,,,
2572,2572,Sanjeev Bagai,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
